epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,6892.89,0.60889,0.38463,0.92859,0.99065,0.98142,0.98706,0.83241,0.77884,0.37802,1.00554,0.0009506,0.0009506,0.0009506
55,6957.24,0.58962,0.37598,0.92568,0.99899,0.98148,0.98737,0.81897,0.72375,0.40348,0.9624,0.0009308,0.0009308,0.0009308
56,7018.92,0.57493,0.38079,0.93124,0.99065,0.98053,0.98666,0.82929,0.7529,0.47294,0.9986,0.000911,0.000911,0.000911
57,7089.8,0.60884,0.38247,0.93824,0.9906,0.97609,0.98675,0.82687,0.66296,0.36174,0.91931,0.0008912,0.0008912,0.0008912
58,7156.02,0.59317,0.37053,0.92923,0.99821,0.98148,0.98743,0.823,0.74602,0.38493,0.96408,0.0008714,0.0008714,0.0008714
59,7217.79,0.57791,0.37897,0.92585,0.99558,0.98148,0.98694,0.81842,0.74418,0.37233,0.98933,0.0008516,0.0008516,0.0008516
60,7284.96,0.60176,0.38823,0.93754,0.99964,0.98148,0.98695,0.82581,0.72914,0.38065,0.97193,0.0008318,0.0008318,0.0008318
61,7350.99,0.59968,0.37785,0.9333,0.99818,0.98148,0.98738,0.83184,0.75332,0.39058,1.01334,0.000812,0.000812,0.000812
62,7416.08,0.59323,0.36924,0.9178,1,0.98139,0.98748,0.82868,0.68749,0.37843,0.93915,0.0007922,0.0007922,0.0007922
63,7481.72,0.58325,0.37515,0.91144,0.99867,0.98148,0.98748,0.82162,0.77964,0.37088,1.03165,0.0007724,0.0007724,0.0007724
64,7547.33,0.57117,0.35969,0.92253,0.99845,0.98148,0.9877,0.83715,0.83715,0.39822,1.10979,0.0007526,0.0007526,0.0007526
65,7610.82,0.59529,0.36613,0.93292,0.998,0.98148,0.98789,0.83775,0.78792,0.40061,1.01934,0.0007328,0.0007328,0.0007328
66,7678.06,0.56773,0.35709,0.92271,0.99902,0.98148,0.98748,0.83157,0.88141,0.41736,1.14991,0.000713,0.000713,0.000713
67,7743.89,0.57148,0.34872,0.90664,0.99885,0.98148,0.98779,0.83459,0.76025,0.36371,0.99804,0.0006932,0.0006932,0.0006932
68,7931.89,0.54956,0.34154,0.92052,0.99875,0.98148,0.98766,0.8264,0.78193,0.36517,0.98732,0.0006734,0.0006734,0.0006734
69,7996.49,0.56739,0.35193,0.91354,0.98973,0.97222,0.97985,0.81766,0.74959,0.35701,0.96637,0.0006536,0.0006536,0.0006536
70,8061.06,0.58217,0.3525,0.92496,0.999,0.98148,0.9875,0.83081,0.7783,0.40684,0.99883,0.0006338,0.0006338,0.0006338
71,8128.11,0.56188,0.34498,0.91429,0.99588,0.98148,0.98774,0.84318,0.65221,0.35857,0.90498,0.000614,0.000614,0.000614
72,8192.86,0.56613,0.3553,0.91741,0.99637,0.98148,0.98734,0.83729,0.68385,0.33474,0.91399,0.0005942,0.0005942,0.0005942
73,8257.1,0.5606,0.35052,0.91494,1,0.98146,0.9871,0.83237,0.67406,0.33927,0.90305,0.0005744,0.0005744,0.0005744
74,8322.12,0.53402,0.34041,0.90231,0.99942,0.98148,0.98733,0.84208,0.6746,0.36812,0.9273,0.0005546,0.0005546,0.0005546
75,8387.59,0.53021,0.3418,0.91193,0.99908,0.98148,0.988,0.84241,0.76017,0.34698,0.97666,0.0005348,0.0005348,0.0005348
76,8452.44,0.59882,0.35701,0.92504,0.999,0.98148,0.98829,0.84403,0.62105,0.32793,0.89578,0.000515,0.000515,0.000515
77,8517.9,0.55187,0.34167,0.90082,0.99929,0.98148,0.98806,0.83513,0.74484,0.33713,0.97777,0.0004952,0.0004952,0.0004952
78,8582.72,0.54993,0.34454,0.92079,0.99937,0.98148,0.98818,0.84152,0.64306,0.33694,0.90235,0.0004754,0.0004754,0.0004754
79,8646.5,0.55496,0.34632,0.91485,0.99914,0.98148,0.98781,0.84279,0.61112,0.33011,0.88313,0.0004556,0.0004556,0.0004556
80,8711.59,0.56766,0.35118,0.91747,0.99891,0.98148,0.9877,0.84109,0.70072,0.3392,0.9458,0.0004358,0.0004358,0.0004358
81,8776.2,0.54802,0.33312,0.91078,0.99925,0.98148,0.98794,0.83857,0.70051,0.33421,0.94456,0.000416,0.000416,0.000416
82,8841.75,0.54297,0.33956,0.90313,0.99972,0.98148,0.98808,0.84758,0.6969,0.32653,0.94106,0.0003962,0.0003962,0.0003962
83,8909.08,0.53297,0.33661,0.9026,1,0.9808,0.9877,0.84438,0.68203,0.33373,0.9294,0.0003764,0.0003764,0.0003764
84,8975.33,0.56645,0.34679,0.91289,0.99914,0.97222,0.98766,0.85148,0.71379,0.33518,0.95403,0.0003566,0.0003566,0.0003566
85,9041.75,0.56412,0.35315,0.91095,0.99883,0.97222,0.98794,0.85389,0.66254,0.35059,0.91858,0.0003368,0.0003368,0.0003368
86,9107.85,0.51429,0.32221,0.89307,0.9988,0.98148,0.98816,0.84928,0.65443,0.34653,0.90791,0.000317,0.000317,0.000317
87,9173.3,0.52747,0.3237,0.89662,0.99877,0.98148,0.98804,0.84533,0.67977,0.32923,0.92331,0.0002972,0.0002972,0.0002972
88,9238.42,0.53994,0.32612,0.91209,0.99901,0.98148,0.98813,0.84626,0.75869,0.35,0.98731,0.0002774,0.0002774,0.0002774
89,9302.99,0.54805,0.33109,0.90374,0.999,0.98148,0.98822,0.84834,0.79458,0.33874,1.01711,0.0002576,0.0002576,0.0002576
90,9368.62,0.5355,0.33245,0.90382,0.99887,0.98148,0.98815,0.84824,0.73048,0.33756,0.96977,0.0002378,0.0002378,0.0002378
91,9427.89,0.5348,0.32934,0.89258,0.99888,0.98148,0.98782,0.84981,0.6952,0.32374,0.93904,0.000218,0.000218,0.000218
92,9488.92,0.55893,0.33189,0.90157,0.99742,0.98148,0.98804,0.84878,0.67313,0.31994,0.91974,0.0001982,0.0001982,0.0001982
93,9549.78,0.54576,0.32525,0.88335,0.99615,0.98148,0.98794,0.84353,0.67878,0.31433,0.92438,0.0001784,0.0001784,0.0001784
94,9610.63,0.52071,0.31577,0.89142,0.98903,0.98148,0.98744,0.84223,0.64057,0.3116,0.89457,0.0001586,0.0001586,0.0001586
95,9671.59,0.54292,0.32255,0.88703,0.98955,0.98148,0.98747,0.84607,0.62558,0.30764,0.88468,0.0001388,0.0001388,0.0001388
96,9732.47,0.53043,0.32,0.89409,0.98929,0.98148,0.9878,0.84987,0.66418,0.30748,0.91899,0.000119,0.000119,0.000119
97,9789.9,0.51046,0.30753,0.87578,0.98884,0.98148,0.98773,0.84412,0.69809,0.31676,0.93933,9.92e-05,9.92e-05,9.92e-05
98,9850.74,0.52159,0.31773,0.89709,0.98913,0.98148,0.98789,0.84629,0.69768,0.32931,0.93428,7.94e-05,7.94e-05,7.94e-05
99,9911.74,0.49076,0.30455,0.88002,0.99859,0.98148,0.98804,0.84485,0.69878,0.33488,0.93289,5.96e-05,5.96e-05,5.96e-05
100,9972.56,0.51054,0.30417,0.87679,0.9896,0.98148,0.98792,0.84526,0.69402,0.33512,0.93025,3.98e-05,3.98e-05,3.98e-05
